Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,1,表,2,2,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,3,2,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,3,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,表,3,2,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,7,外角,見逃し,1,1,1,0,0,見逃し三振,-,,,,1,0,0,0,
2025/10/4,1,裏,0,0,0,-,-,-,與 賢史朗,北陸大学,右,伊藤航太,福井工業大学,左,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,1,0,0,-,-,-,與 賢史朗,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,7,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,I3
2025/10/4,1,裏,0,0,1,-,-,-,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,0,1,1,-,-,-,與 賢史朗,北陸大学,右,久保誓真,福井工業大学,右,ストレート,,3,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,O6
2025/10/4,1,裏,0,0,2,-,-,-,與 賢史朗,北陸大学,右,池邉 由伸,福井工業大学,左,ストレート,,4,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,裏,0,1,2,-,-,-,與 賢史朗,北陸大学,右,池邉 由伸,福井工業大学,左,ストレート,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,1,1,2,-,-,-,與 賢史朗,北陸大学,右,池邉 由伸,福井工業大学,左,カーブ,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,裏,2,1,2,-,-,-,與 賢史朗,北陸大学,右,池邉 由伸,福井工業大学,左,ストレート,,5,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,R6
2025/10/4,2,表,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,2,表,1,0,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,スライダー,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,2,表,1,1,0,-,-,-,藤川泰斗,福井工業大学,左,中村康太,北陸大学,右,ストレート,,,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
